,titles,authors,stars,reviews,cover,prices,publishers,genres,year
4,"The Tales of Beedle the Bard, Collector's Edition (Offered Exclusively by Amazon)",J. K. Rowling,4.6,1762.0,Hardcover,99.99,"Children's High Level Group; Collectors edition (December 4, 2008)", Children's Books ,2008
5,Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,4.8,3158.0,Paperback,12.33,"Simon & Schuster (September 26, 2006)", History ,2008
6,The Story of Edgar Sawtelle: A Novel,David Wroblewski,3.8,2555.0,Hardcover,4.59,"Ecco; 1st edition (June 1, 2008)", Literature & Fiction ,2008
7,A Whole New Mind: Why Right-Brainers Will Rule the Future,Daniel H. Pink,4.4,726.0,Paperback,9.52,"Riverhead Books; Reprint, Updated edition (March 7, 2006)"," Health, Fitness & Dieting ",2008
8,Crucial Conversations: Tools for Talking When Stakes Are High,Kerry Patterson,4.6,1562.0,Paperback,0.25,"McGraw-Hill; 1 edition (June 18, 2002)", Reference ,2008
9,The Reason for God: Belief in an Age of Skepticism,Timothy Keller,4.7,1460.0,Hardcover,20.8,"Viking; 1st Edition edition (February 14, 2008)", Christian Books & Bibles ,2008
10,Unaccustomed Earth,Jhumpa Lahiri,4.4,517.0,Hardcover,8.98,"Knopf (April 1, 2008)", Deals in Books,2008
11,"Liberal Fascism: The Secret History of the American Left, From Mussolini to the Politics of Meaning",Jonah Goldberg,4.4,849.0,Hardcover,19.01,"Doubleday; 1 edition (January 8, 2008)", Politics & Social Sciences ,2008
12,Too Fat to Fish,Artie Lange,4.3,421.0,Hardcover,9.98,"Spiegel & Grau (November 11, 2008)", Humor & Entertainment ,2008
13,The Road,Cormac McCarthy,4.1,4559.0,Paperback,12.93,"Vintage Books (March 28, 2006)", Literature & Fiction ,2008
14,Our Iceberg Is Melting,John Kotter,4.4,433.0,Hardcover,3.95,"St. Martin's Press; 1st edition (September 5, 2006)", Business & Money ,2008
15,The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,4.2,1310.0,Paperback,12.93,"Broadway Books (November 6, 2007)", Politics & Social Sciences ,2008
16,Fearless Fourteen,Janet Evanovich,4.3,1030.0,Hardcover,2.99,"St. Martin's Press; 1st edition (June 17, 2008)", Literature & Fiction ,2008
17,"A Guide to the Project Management Body of Knowledge, Third Edition (PMBOK Guides)",Project Management Institute,4.2,1723.0,Paperback,10.95,"Project Management Inst; 3rd edition (November 1, 2004)", Business & Money ,2008
18,What to Expect When You're Expecting,Heidi Murkoff,4.4,3991.0,Paperback,20.81,"Workman Publishing Company; 4th edition (April 10, 2008)"," Health, Fitness & Dieting ",2008
19,Good to Great and the Social Sectors: Why Business Thinking is Not the Answer,Jim Collins,4.5,2544.0,Paperback,11.85,"HarperCollins; 1 edition (November 24, 2005)", Business & Money ,2008
20,"Skinny Bitch: A No-Nonsense, Tough-Love Guide for Savvy Girls Who Want To Stop Eating Crap and Start Looking Fabulous!",Rory Freedman,3.8,1897.0,Paperback,12.16,"Running Press Adult; Original edition (December 27, 2005)"," Health, Fitness & Dieting ",2008
21,"Fleeced: How Barack Obama, Media Mockery of Terrorist Threats, Liberals Who Want to Kill Talk Radio, the Do-Nothing Congress, Companies That Help Iran, and Washington Lobbyists for Foreign Governments Are Scamming Us ... and What to Do About It",Dick Morris,3.9,250.0,Hardcover,5.49,"Harper; First Edition edition (June 24, 2008)", Politics & Social Sciences ,2008
22,"Are You There, Vodka? It's Me, Chelsea",Chelsea Handler,4.1,1217.0,Hardcover,6.93,"Gallery Books (April 22, 2008)", Humor & Entertainment ,2008
23,The Black Swan: The Impact of the Highly Improbable (Incerto),Nassim Nicholas Taleb,4.0,1277.0,Hardcover,14.66,"Random House; 1 edition (April 17, 2007)", Politics & Social Sciences ,2008
24,Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,4.5,1198.0,Hardcover,10.49,"HarperCollins; 1 edition (February 19, 2008)", Textbooks ,2008
25,Audition: A Memoir,Barbara Walters,4.2,426.0,Hardcover,6.66,"Knopf; 1 edition (May 6, 2008)", Biographies & Memoirs ,2008
26,What Happened: Inside the Bush White House and Washington's Culture of Deception,Scott McClellan,3.7,243.0,Hardcover,8.99,"PublicAffairs; 1st edition (May 28, 2008)", Politics & Social Sciences ,2008
27,You: Staying Young: The Owner's Manual for Extending Your Warranty,Michael F. Roizen,4.2,324.0,Hardcover,2.85,"Free Press; 1 edition (October 30, 2007)"," Health, Fitness & Dieting ",2008
28,The Glass Castle: A Memoir,Jeannette Walls,4.6,7585.0,Paperback,9.79,"Scribner; Reprint edition (January 17, 2006)", Biographies & Memoirs ,2008
29,The World Is Flat 3.0: A Brief History of the Twenty-first Century,Thomas L. Friedman,4.0,421.0,Paperback,11.98,"Picador; Third edition (August 7, 2007)", Politics & Social Sciences ,2008
30,Diary of a Wimpy Kid Rodrick Rules,Jeff Kinney,4.7,11214.0,Hardcover,9.4,"Amulet Books (February 1, 2008)", Children's Books ,2008
31,Stori Telling,Tori Spelling,4.5,552.0,Hardcover,5.98,"Simon Spotlight; 1st Simon Spotlight Entertainment Hardcover Ed edition (March 11, 2008)", Biographies & Memoirs ,2008
32,How to Win Friends & Influence People,Dale Carnegie,4.7,7176.0,Paperback,9.6,"Pocket Books (October 1, 1998)"," Health, Fitness & Dieting ",2008
33,My Stroke of Insight: A Brain Scientist's Personal Journey,Jill Bolte Taylor,4.6,1788.0,Hardcover,18.95,"Viking Adult; 1 edition (May 14, 2008)", Literature & Fiction ,2008
34,The Pillars of the Earth,Ken Follett,4.1,16478.0,Paperback,10.97,"NAL Trade (February 4, 2002)", Teens ,2008
35,Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz,4.7,395.0,Paperback,14.85,"Little, Brown Books for Young Readers; Media Tie In edition (October 28, 2008)", Education & Teaching ,2008
36,"The Official Guide for GMAT Review, 11th Edition",Graduate Management Admission…,4.3,212.0,Paperback,15.99,"Graduate Management Admission Council; 11th Edition edition (August 1, 2005)", Biographies & Memoirs ,2008
37,Into the Wild,Jon Krakauer,4.3,2806.0,Paperback,10.09,"Anchor; Reissue edition (August 21, 2007)", Teens ,2008
38,The Book Thief,Markus Zusak,4.6,17748.0,Paperback,11.64,"Alfred A. Knopf; Reprint edition (September 11, 2007)", Politics & Social Sciences ,2008
39,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,4.6,1038.0,Hardcover,13.99,"Random House; 1st edition (January 2, 2007)", Business & Money ,2008
40,What Got You Here Won't Get You There: How Successful People Become Even More Successful,Marshall Goldsmith,4.3,778.0,Hardcover,13.49,"Hachette Books; Revised ed. edition (January 9, 2007)", Children's Books ,2008
41,"The Battle of the Labyrinth (Percy Jackson and the Olympians, Book 4)",Rick Riordan,4.8,1815.0,Hardcover,13.28,"Hyperion Books for Children; 1st edition (May 6, 2008)", Self-Help ,2008
42,The SPEED of TRUST: The One Thing That Changes Everything,Stephen M .R. Covey,4.4,597.0,Paperback,9.78,"FREE PRESS; Reprint edition (February 5, 2008)"," Health, Fitness & Dieting ",2008
43,Deceptively Delicious: Simple Secrets to Get Your Kids Eating Good Food,Jessica Seinfeld,4.1,1236.0,Hardcover-spiral,10.9,"Collins; 1st edition (October 1, 2007)", Literature & Fiction ,2008
44,The Lucky One,Nicholas Sparks,4.5,1908.0,Hardcover,9.39,"Grand Central Publishing (September 30, 2008)", Humor & Entertainment ,2008
45,The Dangerous Book for Boys,Conn Iggulden,4.7,1574.0,Hardcover,14.88,"HarperCollins; First Edition edition (May 1, 2007)", Literature & Fiction ,2008
46,The Alchemist,Paulo Coelho,4.6,11884.0,Paperback,16.94,"HarperOne; 1st edition (April 25, 1993)", Business & Money ,2008
47,Freakonomics [Revised and Expanded]: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,4.4,3334.0,Hardcover,13.38,"William Morrow; Revised & Expand, Roughcut edition (October 2, 2006)", Literature & Fiction ,2008
48,Loving Frank: A Novel,Nancy Horan,4.3,1350.0,Paperback,10.01,"Ballantine Books; Reprint edition (April 8, 2008)", Textbooks ,2008
49,The Pillars of the Earth (Deluxe Edition) (Oprah's Book Club),Ken Follett,4.1,16478.0,Paperback,13.05,"Penguin Books (November 14, 2007)",,2008
0,The Lost Symbol,Dan Brown,4.0,5561.0,Hardcover,15.0,"Doubleday Books; 1st edition (September 15, 2009)"," Mystery, Thriller & Suspense ",2009
1,The Shack: Where Tragedy Confronts Eternity,William P. Young,4.7,16516.0,Paperback,7.89,"Windblown Media; 1st edition (July 1, 2007)", Literature & Fiction ,2009
2,Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,3337.0,Hardcover,8.99,"Threshold Editions; 1st edition (March 24, 2009)", Politics & Social Sciences ,2009
3,"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.5,7068.0,Hardcover,13.49,"Little, Brown Books for Young Readers; 1st edition (August 2, 2008)", Teens ,2009
4,Going Rogue: An American Life,Sarah Palin,4.5,1638.0,Hardcover,2.7,"HarperCollins; 1st edition (November 17, 2009)", Biographies & Memoirs ,2009
5,StrengthsFinder 2.0,Tom Rath,4.0,3519.0,Hardcover,14.99,"Gallup Press; 1 edition (February 1, 2007)", Business & Money ,2009
6,The Help,Kathryn Stockett,4.7,10028.0,Hardcover,13.84,"G.P. Putnam's Sons (February 10, 2009)", Literature & Fiction ,2009
7,New Moon (The Twilight Saga),Stephenie Meyer,4.6,3608.0,Paperback,8.99,"Little, Brown; 1st edition (May 31, 2008)", Teens ,2009
8,The Twilight Saga Collection,Stephenie Meyer,4.6,11492.0,Hardcover,0.99,"Little, Brown and Company; 1 edition (November 18, 2008)", Science & Math ,2009
9,Outliers: The Story of Success,Malcolm Gladwell,4.6,5004.0,Hardcover,14.24,"Little, Brown; 1st edition (August 7, 2007)", Literature & Fiction ,2009
10,Eclipse (Twilight),Stephenie Meyer,4.6,3243.0,Hardcover,10.99,,,2009
11,"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,4.6,11492.0,Paperback,9.49,,,2009
12,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.4,1319.0,Paperback,4.66,,,2009
13,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,3158.0,Paperback,7.54,"Threshold Editions (June 16, 2009)", Politics & Social Sciences ,2009
14,The Love Dare,Stephen Kendrick,4.7,2848.0,Paperback,20.11,"Penguin Books (January 30, 2007)", Politics & Social Sciences ,2009
15,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.5,4462.0,Hardcover,12.49,"B&H Books; 1st edition (September 28, 2008)", Christian Books & Bibles ,2009
16,"Dog Days (Diary of a Wimpy Kid, Book 4)",Jeff Kinney,4.7,11214.0,Hardcover,7.69,"Amistad; 1st edition (January 27, 2009)", Self-Help ,2009
17,Under the Dome: A Novel,Stephen King,4.5,17529.0,Hardcover,23.79,"Amulet Books; 1 edition (October 12, 2009)", Children's Books ,2009
18,Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,1291.0,Hardcover,7.99,"Scribner; 1 edition (November 10, 2009)", Literature & Fiction ,2009
19,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,4446.0,Paperback,7.18,"Amulet Books; Later Printing edition (January 1, 2009)", Children's Books ,2009
20,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.4,579.0,Paperback,8.07,"Dial Press (May 5, 2009)", Literature & Fiction ,2009
21,Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.3,691.0,Hardcover,10.04,"Rodale Books; 2 edition (December 30, 2008)", Reference ,2009
22,"Mastering the Art of French Cooking, Vol. 1",Julia Child,4.8,1915.0,Hardcover,25.12,"Threshold Editions; 1st edition (September 22, 2009)", Humor & Entertainment ,2009
23,Sookie Stackhouse Dead Until Dark; Living Dead in Dallas; Club Dead; Dead to the World; Dead as a Doornail; Definitely Dead; All Together Dead,Charlaine Harris,4.7,883.0,Paperback,35.0,"Alfred A. Knopf; 40th Anniversary edition (October 16, 2001)"," Cookbooks, Food & Wine ",2009
24,The Time Traveler's Wife,Audrey Niffenegger,4.2,2808.0,Paperback,4.85,Gollancz; Boxed Set edition (2008), Science Fiction & Fantasy ,2009
25,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.3,4378.0,Paperback,18.43,"Harcourt (May 27, 2004)", Romance ,2009
26,True Compass: A Memoir,Edward M. Kennedy,4.3,404.0,Hardcover,1.06,"American Psychological Association (APA); 6th edition (July 15, 2009)", Medical Books ,2009
27,The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.3,6023.0,Paperback,6.97,"Twelve; First Edition edition (September 14, 2009)", Biographies & Memoirs ,2009
28,The 5000 Year Leap,W. Cleon Skousen,4.8,1323.0,Paperback,12.24,"Vintage Crime / Black Lizard; Later Printing edition (June 23, 2009)"," Mystery, Thriller & Suspense ",2009
29,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,2540.0,Hardcover,16.59,National Center for Constitutional Studies (2007), Politics & Social Sciences ,2009
30,Eclipse (Twilight Sagas),Stephenie Meyer,4.6,3243.0,Paperback,9.19,"HarperBusiness; 1st edition (October 16, 2001)", Business & Money ,2009
31,Where the Wild Things Are,Maurice Sendak,4.7,2163.0,Hardcover,12.45,"Little, Brown Books for Young Readers; Reprint edition (August 4, 2009)", Teens ,2009
32,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,2065.0,Hardcover,12.85,"HarperCollins; 25th anniversary edition (December 26, 2012)", Children's Books ,2009
33,Olive Kitteridge,Elizabeth Strout,4.2,1889.0,Paperback,9.61,"Jossey-Bass; 1st edition (April 11, 2002)", Business & Money ,2009
34,Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.3,1107.0,Hardcover,2.5,"Random House Trade Paperbacks; Reprint edition (September 30, 2008)", Literature & Fiction ,2009
35,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds-or More!",David Zinczenko,4.3,1432.0,Paperback,19.76,"Ace Books; 1st edition (May 5, 2009)"," Mystery, Thriller & Suspense ",2009
36,"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,4.3,985.0,Hardcover,15.69,Rodale Books; 1st edition (2008)," Health, Fitness & Dieting ",2009
37,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.3,2373.0,Paperback,9.16,"William Morrow; 1 edition (October 20, 2009)", Business & Money ,2009
38,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,2323.0,Paperback,15.75,"Back Bay Books (January 7, 2002)", Business & Money ,2009
39,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,2269.0,Hardcover,1.28,"David C. Cook; 1st edition edition (May 1, 2008)", Christian Books & Bibles ,2009
40,The Elegance of the Hedgehog,Muriel Barbery,4.0,1274.0,Paperback,8.45,"Disney Hyperion Books for Children; 1 edition (May 5, 2009)", Children's Books ,2009
41,"I, Alex Cross",James Patterson,4.4,853.0,Hardcover,12.49,"Europa Editions; 1st edition (September 2, 2008)", Literature & Fiction ,2009
42,The Girl Who Played with Fire (Millennium ),Stieg Larsson,4.6,8569.0,Hardcover,13.25,"Little, Brown and Company; 1 edition (November 16, 2009)"," Mystery, Thriller & Suspense ",2009
43,The Last Lecture,Randy Pausch,4.7,2972.0,Hardcover,11.54,"Alfred A. Knopf (July 28, 2009)"," Mystery, Thriller & Suspense ",2009
44,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.8,13074.0,Paperback,3.0,"Hyperion; 1st edition (April 8, 2008)", Humor & Entertainment ,2009
45,Watchmen,Alan Moore,4.7,1709.0,Paperback,7.0,"Northfield Publishing; Later Printing edition (June 1, 1995)", Christian Books & Bibles ,2009
46,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.5,5178.0,Paperback,17.29,"DC Comics; Gph edition (April 1, 1995)", Comics & Graphic Novels ,2009
47,The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.5,483.0,Hardcover,9.99,"DC Comics; Gph edition (April 1, 1995)", Comics & Graphic Novels ,2009
48,"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All Universes",Zhi Gang Sha,4.4,22.0,Hardcover,8.46,"Free Press; Revised edition (November 9, 2004)", Business & Money ,2009
49,Have a Little Faith: A True Story,Mitch Albom,4.8,1183.0,Hardcover,13.35,"ESPN; First Edition edition (October 27, 2009)", Sports & Outdoors ,2009
0,Diary of a Wimpy Kid Do-It-Yourself Book,Jeff Kinney,4.7,11214.0,Hardcover,16.88,"Amulet Books; 1 edition (October 1, 2008)", Children's Books ,2009
1,Open: An Autobiography,Andre Agassi,4.7,1834.0,Hardcover,11.24,"Knopf; 1 edition (November 9, 2009)", Sports & Outdoors ,2009
2,Pride and Prejudice and Zombies: The Classic Regency Romance - Now with Ultraviolent Zombie Mayhem!,Jane Austen,3.6,1076.0,Paperback,9.9,"Quirk Books (April 4, 2009)", Literature & Fiction ,2009
3,Cook Yourself Thin: Skinny Meals You Can Make in Minutes,Lifetime Television,4.2,426.0,Paperback,4.23,"Hachette Books; 1 edition (April 28, 2009)"," Health, Fitness & Dieting ",2009
4,Hungry Girl: 200 Under 200: 200 Recipes Under 200 Calories,Lisa Lillien,4.4,658.0,Paperback,12.15,"St. Martin's Griffin; 1 edition (April 14, 2009)"," Health, Fitness & Dieting ",2009
5,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,4.7,3812.0,Hardcover,16.79,"Knopf (May 5, 2009)", Sports & Outdoors ,2009
6,A Bold Fresh Piece of Humanity,Bill O'Reilly,4.4,649.0,Hardcover,8.0,"Broadway Books; 1st edition (September 23, 2008)", Biographies & Memoirs ,2009
7,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,Ree Drummond,4.8,7118.0,Hardcover,13.85,"William Morrow Cookbooks; Later Printing edition (October 27, 2009)"," Cookbooks, Food & Wine ",2009
8,The Book Thief,Markus Zusak,4.6,17748.0,Paperback,11.64,"Alfred A. Knopf; Reprint edition (September 11, 2007)", Teens ,2009
